date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:03:20	117/117	---M-Z	200	added ('OK')	text/plain	etag:%224780-1703807766;gz%22	https://delogiswp.pixydrops.com/robots.txt		(from )
09:03:21	159292/159292	---MCZ	200	added ('OK')	text/html	etag:%224515-1703731035;gz%22	https://delogiswp.pixydrops.com/	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/index.html	(from )
09:03:21	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-6572cf9b-37e4b38a9e2cc1ea;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.4	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/contact-form-7/includes/css/styles69c8.css	(from https://delogiswp.pixydrops.com/)
09:03:22	23134/23134	---MCZ	200	added ('OK')	application/rss+xml	etag:%228acc573d21325df7dc7cc46627a16d25%22	https://delogiswp.pixydrops.com/feed/	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/feed/index.html	(from https://delogiswp.pixydrops.com/)
09:03:22	9923/9923	---MCZ	200	added ('OK')	application/rss+xml	etag:%228acc573d21325df7dc7cc46627a16d25%22	https://delogiswp.pixydrops.com/comments/feed/	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/comments/feed/index.html	(from https://delogiswp.pixydrops.com/)
09:03:23	2746/2746	---M-Z	200	added ('OK')	text/css	etag:%22aba-6177fd68-77030b916f2f5793;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/layerdrops-toolbar/assets/css/layerdrops-toolbar.css?ver=1703731035	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/layerdrops-toolbar/assets/css/layerdrops-toolbard0a4.css	(from https://delogiswp.pixydrops.com/)
09:03:23	87493/87493	---M-Z	200	added ('OK')	text/css	etag:%22155c5-644fdba6-afcfa73e9ffff3a;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/animate/animate.min.css?ver=1682955174	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/animate/animate.min1c6c.css	(from https://delogiswp.pixydrops.com/)
09:03:23	32910/32910	---M-Z	200	added ('OK')	text/css	etag:%22808e-644fdba6-c8a269d088abe6ca;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/animate/custom-animate.css?ver=1682955174	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/animate/custom-animate1c6c.css	(from https://delogiswp.pixydrops.com/)
09:03:24	11832/11832	---M-Z	200	added ('OK')	text/css	etag:%222e38-644fdba6-9db8a13db1a72509;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/bootstrap-select/css/bootstrap-select.min.css?ver=1682955174	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/bootstrap-select/css/bootstrap-select.min1c6c.css	(from https://delogiswp.pixydrops.com/)
09:03:24	4088/4088	---M-Z	200	added ('OK')	text/css	etag:%22ff8-644fdba6-bd395a24ed3913c5;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/bxslider/jquery.bxslider.css?ver=1682955174	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/bxslider/jquery.bxslider1c6c.css	(from https://delogiswp.pixydrops.com/)
09:03:24	335/335	---M-Z	200	added ('OK')	text/css	etag:%2214f-644fdba6-48b10994749313e6;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/jarallax/jarallax.css?ver=1682955174	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/jarallax/jarallax1c6c.css	(from https://delogiswp.pixydrops.com/)
09:03:25	7302/7302	---M-Z	200	added ('OK')	text/css	etag:%221c86-644fdba6-84e864f48c9f8317;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css?ver=1682955174	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/jquery-magnific-popup/jquery.magnific-popup1c6c.css	(from https://delogiswp.pixydrops.com/)
09:03:25	3116/3116	---M-Z	200	added ('OK')	text/css	etag:%22c2c-644fdba6-52bcbb9f076d331d;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/odometer/odometer.min.css?ver=1682955174	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/odometer/odometer.min1c6c.css	(from https://delogiswp.pixydrops.com/)
09:03:26	3356/3356	---M-Z	200	added ('OK')	text/css	etag:%22d1c-644fdba6-7441a232799d1ce3;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/owl-carousel/owl.carousel.min.css?ver=1682955174	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/owl-carousel/owl.carousel.min1c6c.css	(from https://delogiswp.pixydrops.com/)
09:03:26	1018/1018	---M-Z	200	added ('OK')	text/css	etag:%223fa-644fdba6-12a67d256bca3f88;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/owl-carousel/owl.theme.default.min.css?ver=1682955174	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/owl-carousel/owl.theme.default.min1c6c.css	(from https://delogiswp.pixydrops.com/)
09:03:27	313/313	---M-Z	200	added ('OK')	text/css	etag:%22139-644fdba6-c6f2aaa90405a31;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/reey-font/stylesheet.css?ver=1682955174	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/reey-font/stylesheet1c6c.css	(from https://delogiswp.pixydrops.com/)
09:03:27	307/307	---M-Z	200	added ('OK')	text/css	etag:%22133-644fdcb0-36ee15dae11e4dc2;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/alagambe-font/stylesheet.css?ver=1682955440	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/alagambe-font/stylesheetbacc.css	(from https://delogiswp.pixydrops.com/)
09:03:28	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-6572cf9d-ea8a8a551c4081d5;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://delogiswp.pixydrops.com/)
09:03:28	4064/4064	---M-Z	200	added ('OK')	text/css	etag:%22fe0-649558ce-5903332213d444bb;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/timepicker/timePicker.css?ver=1687509198	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/timepicker/timePicker072f.css	(from https://delogiswp.pixydrops.com/)
09:03:28	34763/34763	---M-Z	200	added ('OK')	text/css	etag:%2287cb-649558ce-55f070bf8b6c0f03;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/jquery-ui/jquery-ui.css?ver=1687509198	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/vendors/jquery-ui/jquery-ui072f.css	(from https://delogiswp.pixydrops.com/)
09:03:29	25/25	---M--	200	added ('OK')	text/css	etag:%2219-644fdba6-371f263a44f8a0c3;;;%22	https://delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/css/delogis-addon.css?ver=1682955174	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/delogis-addon/assets/css/delogis-addon1c6c.css	(from https://delogiswp.pixydrops.com/)
09:03:29	1750/1750	---M-Z	200	added ('OK')	text/css	etag:%226d6-6572cf9e-9a5ae3580e706251;gz%22	https://delogiswp.pixydrops.com/wp-content/plugins/woo-smart-quick-view/assets/libs/slick/slick.css?ver=6.4.2	C:/Users/lenovo%20pc/Desktop/Emerge%20TechHub/Therapy%20Web%20App/delogiswp.pixydrops.com/wp-content/plugins/woo-smart-quick-view/assets/libs/slick/slick1e39.css	(from https://delogiswp.pixydrops.com/)
